[2025-11-07T04:50:13.846949] LAT:12.971099, LON:79.155084, ALT:312.2, SPD:1.08, SAT:6, BAT:3.9, RSSI:-47
[2025-11-07T04:48:55.186877] LAT:12.967898, LON:79.157006, ALT:312.2, SPD:0.93, SAT:7, BAT:3.88, RSSI:-62
[2025-11-07T04:48:52.672721] LAT:12.967891, LON:79.157013, ALT:310.8, SPD:1.93, SAT:9, BAT:3.881, RSSI:-51
[2025-11-07T04:48:50.158750] LAT:12.967887, LON:79.157022, ALT:312.2, SPD:1.18, SAT:5, BAT:3.881, RSSI:-46
[2025-11-07T04:48:47.645054] LAT:12.967885, LON:79.157032, ALT:306.7, SPD:1.86, SAT:9, BAT:3.881, RSSI:-46
[2025-11-07T04:48:45.130460] LAT:12.967882, LON:79.157042, ALT:305.3, SPD:1.59, SAT:7, BAT:3.881, RSSI:-68
[2025-11-07T04:48:42.615727] LAT:12.967875, LON:79.157049, ALT:308.7, SPD:1.01, SAT:6, BAT:3.881, RSSI:-62
[2025-11-07T04:48:40.102508] LAT:12.967869, LON:79.157057, ALT:311.7, SPD:0.88, SAT:9, BAT:3.881, RSSI:-74
[2025-11-07T04:48:37.587191] LAT:12.96786, LON:79.157061, ALT:308.8, SPD:0.51, SAT:5, BAT:3.881, RSSI:-63
[2025-11-07T04:48:35.071670] LAT:12.96785, LON:79.157062, ALT:312.5, SPD:1.82, SAT:5, BAT:3.882, RSSI:-70
[2025-11-07T04:48:32.557238] LAT:12.96784, LON:79.157063, ALT:307.6, SPD:2.17, SAT:8, BAT:3.882, RSSI:-51
[2025-11-07T04:48:30.040713] LAT:12.96783, LON:79.157059, ALT:311.5, SPD:2.35, SAT:7, BAT:3.882, RSSI:-46
[2025-11-07T04:48:27.525121] LAT:12.967824, LON:79.157052, ALT:305.2, SPD:0.55, SAT:8, BAT:3.882, RSSI:-50
[2025-11-07T04:48:25.008451] LAT:12.96782, LON:79.157043, ALT:315.0, SPD:0.95, SAT:7, BAT:3.882, RSSI:-67
[2025-11-07T04:48:22.493617] LAT:12.967815, LON:79.157034, ALT:312.8, SPD:1.52, SAT:8, BAT:3.882, RSSI:-52
[2025-11-07T04:48:19.980388] LAT:12.967807, LON:79.157028, ALT:311.0, SPD:2.38, SAT:6, BAT:3.883, RSSI:-52
[2025-11-07T04:48:17.465725] LAT:12.967798, LON:79.157023, ALT:311.1, SPD:0.53, SAT:8, BAT:3.883, RSSI:-67
[2025-11-07T04:48:14.952180] LAT:12.967792, LON:79.157016, ALT:309.2, SPD:2.35, SAT:5, BAT:3.883, RSSI:-49
[2025-11-07T04:48:12.436855] LAT:12.967784, LON:79.15701, ALT:305.1, SPD:1.56, SAT:6, BAT:3.883, RSSI:-47
[2025-11-07T04:48:09.926055] LAT:12.967777, LON:79.157003, ALT:306.8, SPD:1.09, SAT:7, BAT:3.884, RSSI:-54
[2025-11-07T04:48:07.413645] LAT:12.967768, LON:79.156998, ALT:308.0, SPD:0.59, SAT:9, BAT:3.884, RSSI:-49
[2025-11-07T04:48:04.896915] LAT:12.967758, LON:79.156997, ALT:305.0, SPD:0.85, SAT:9, BAT:3.884, RSSI:-45
[2025-11-07T04:48:02.381557] LAT:12.967748, LON:79.157001, ALT:309.1, SPD:1.77, SAT:6, BAT:3.884, RSSI:-53
[2025-11-07T04:47:59.869604] LAT:12.96774, LON:79.157006, ALT:311.0, SPD:2.48, SAT:8, BAT:3.884, RSSI:-48
[2025-11-07T04:47:57.356739] LAT:12.967734, LON:79.157014, ALT:309.3, SPD:1.06, SAT:5, BAT:3.884, RSSI:-70
[2025-11-07T04:47:54.844887] LAT:12.967733, LON:79.157024, ALT:305.5, SPD:1.36, SAT:7, BAT:3.885, RSSI:-73
[2025-11-07T04:47:52.330142] LAT:12.967734, LON:79.157034, ALT:314.1, SPD:1.5, SAT:7, BAT:3.885, RSSI:-46
[2025-11-07T04:47:49.816005] LAT:12.967734, LON:79.157044, ALT:306.6, SPD:1.43, SAT:8, BAT:3.885, RSSI:-53
[2025-11-07T04:47:47.300378] LAT:12.967731, LON:79.157053, ALT:306.3, SPD:2.44, SAT:8, BAT:3.885, RSSI:-54
[2025-11-07T04:47:44.785295] LAT:12.967725, LON:79.157061, ALT:312.8, SPD:2.06, SAT:8, BAT:3.885, RSSI:-50
[2025-11-07T04:47:42.272419] LAT:12.967716, LON:79.157067, ALT:309.3, SPD:0.84, SAT:7, BAT:3.885, RSSI:-73
[2025-11-07T04:47:39.759975] LAT:12.967707, LON:79.157069, ALT:313.1, SPD:1.86, SAT:9, BAT:3.886, RSSI:-57
[2025-11-07T04:47:37.247143] LAT:12.967697, LON:79.157071, ALT:314.0, SPD:2.03, SAT:9, BAT:3.886, RSSI:-65
[2025-11-07T04:47:34.732791] LAT:12.967687, LON:79.157072, ALT:310.4, SPD:2.19, SAT:5, BAT:3.886, RSSI:-64
[2025-11-07T04:47:32.219540] LAT:12.967677, LON:79.157072, ALT:309.9, SPD:1.64, SAT:9, BAT:3.886, RSSI:-62
[2025-11-07T04:47:29.704320] LAT:12.967667, LON:79.157071, ALT:311.8, SPD:1.24, SAT:6, BAT:3.886, RSSI:-53
[2025-11-07T04:47:27.189457] LAT:12.967658, LON:79.157068, ALT:313.7, SPD:0.9, SAT:8, BAT:3.886, RSSI:-49
[2025-11-07T04:47:24.677258] LAT:12.967648, LON:79.157069, ALT:306.8, SPD:1.92, SAT:9, BAT:3.887, RSSI:-52
[2025-11-07T04:47:22.161338] LAT:12.967638, LON:79.157072, ALT:310.9, SPD:1.87, SAT:6, BAT:3.887, RSSI:-48
[2025-11-07T04:47:19.646901] LAT:12.967629, LON:79.157077, ALT:310.4, SPD:0.54, SAT:9, BAT:3.887, RSSI:-51
[2025-11-07T04:47:17.130109] LAT:12.96762, LON:79.15708, ALT:314.8, SPD:1.11, SAT:5, BAT:3.887, RSSI:-67
[2025-11-07T04:47:14.618544] LAT:12.96761, LON:79.157077, ALT:307.4, SPD:1.71, SAT:5, BAT:3.887, RSSI:-52
[2025-11-07T04:47:12.103647] LAT:12.9676, LON:79.157079, ALT:313.6, SPD:2.17, SAT:9, BAT:3.888, RSSI:-45
[2025-11-07T04:47:09.588757] LAT:12.967591, LON:79.157078, ALT:314.9, SPD:1.2, SAT:5, BAT:3.888, RSSI:-61
[2025-11-07T04:47:07.073971] LAT:12.967581, LON:79.157076, ALT:312.0, SPD:1.98, SAT:8, BAT:3.888, RSSI:-49
[2025-11-07T04:47:04.558673] LAT:12.967571, LON:79.157079, ALT:307.6, SPD:0.55, SAT:6, BAT:3.888, RSSI:-46
[2025-11-07T04:47:02.045966] LAT:12.967561, LON:79.15708, ALT:305.0, SPD:1.54, SAT:7, BAT:3.888, RSSI:-66
[2025-11-07T04:46:59.530548] LAT:12.967551, LON:79.157077, ALT:314.3, SPD:1.32, SAT:6, BAT:3.888, RSSI:-63
[2025-11-07T04:46:57.016567] LAT:12.967544, LON:79.15707, ALT:314.8, SPD:0.95, SAT:6, BAT:3.888, RSSI:-73
[2025-11-07T04:46:54.503086] LAT:12.967538, LON:79.157062, ALT:314.7, SPD:0.51, SAT:7, BAT:3.889, RSSI:-56
[2025-11-07T04:46:51.990305] LAT:12.967537, LON:79.157052, ALT:313.2, SPD:1.16, SAT:7, BAT:3.889, RSSI:-63
[2025-11-07T04:46:49.476149] LAT:12.967534, LON:79.157043, ALT:311.4, SPD:1.01, SAT:6, BAT:3.889, RSSI:-59
[2025-11-07T04:46:46.965102] LAT:12.967536, LON:79.157033, ALT:309.0, SPD:1.54, SAT:5, BAT:3.889, RSSI:-45
[2025-11-07T04:46:44.452888] LAT:12.967542, LON:79.157025, ALT:311.0, SPD:0.57, SAT:9, BAT:3.889, RSSI:-72
[2025-11-07T04:46:41.937111] LAT:12.96755, LON:79.157019, ALT:307.6, SPD:1.11, SAT:5, BAT:3.89, RSSI:-68
[2025-11-07T04:46:39.421722] LAT:12.96756, LON:79.157016, ALT:312.6, SPD:2.05, SAT:6, BAT:3.89, RSSI:-74
[2025-11-07T04:46:36.907092] LAT:12.967568, LON:79.157011, ALT:307.8, SPD:1.45, SAT:8, BAT:3.89, RSSI:-62
[2025-11-07T04:46:34.395008] LAT:12.967576, LON:79.157005, ALT:311.4, SPD:0.94, SAT:6, BAT:3.89, RSSI:-65
[2025-11-07T04:46:31.881415] LAT:12.967586, LON:79.157003, ALT:309.2, SPD:1.31, SAT:8, BAT:3.89, RSSI:-47
[2025-11-07T04:46:29.368663] LAT:12.967594, LON:79.156998, ALT:313.7, SPD:1.8, SAT:6, BAT:3.891, RSSI:-67
[2025-11-07T04:46:26.854650] LAT:12.967603, LON:79.156993, ALT:310.2, SPD:1.3, SAT:8, BAT:3.891, RSSI:-54
[2025-11-07T04:46:24.336282] LAT:12.967609, LON:79.156985, ALT:305.0, SPD:1.9, SAT:8, BAT:3.891, RSSI:-71
[2025-11-07T04:46:21.823767] LAT:12.967612, LON:79.156976, ALT:314.7, SPD:1.76, SAT:5, BAT:3.891, RSSI:-56
[2025-11-07T04:46:19.308477] LAT:12.967617, LON:79.156967, ALT:313.5, SPD:1.38, SAT:5, BAT:3.891, RSSI:-73
[2025-11-07T04:46:16.793922] LAT:12.967619, LON:79.156957, ALT:305.4, SPD:0.61, SAT:8, BAT:3.892, RSSI:-59
[2025-11-07T04:46:14.279421] LAT:12.967625, LON:79.156949, ALT:314.6, SPD:0.82, SAT:9, BAT:3.892, RSSI:-52
[2025-11-07T04:46:11.765050] LAT:12.967635, LON:79.156945, ALT:314.5, SPD:1.56, SAT:9, BAT:3.892, RSSI:-68
[2025-11-07T04:46:09.251605] LAT:12.967642, LON:79.156939, ALT:308.4, SPD:1.72, SAT:8, BAT:3.892, RSSI:-54
[2025-11-07T04:46:06.738108] LAT:12.96765, LON:79.156932, ALT:313.5, SPD:1.14, SAT:7, BAT:3.892, RSSI:-62
[2025-11-07T04:46:04.219863] LAT:12.967657, LON:79.156925, ALT:308.3, SPD:0.78, SAT:7, BAT:3.892, RSSI:-69
[2025-11-07T04:46:01.705574] LAT:12.967665, LON:79.156919, ALT:311.4, SPD:0.67, SAT:7, BAT:3.893, RSSI:-68
[2025-11-07T04:45:59.190773] LAT:12.967668, LON:79.15691, ALT:308.9, SPD:1.89, SAT:8, BAT:3.893, RSSI:-49
[2025-11-07T04:45:56.675770] LAT:12.967676, LON:79.156903, ALT:307.5, SPD:1.8, SAT:9, BAT:3.893, RSSI:-65
[2025-11-07T04:45:54.161061] LAT:12.967682, LON:79.156896, ALT:313.8, SPD:1.31, SAT:9, BAT:3.893, RSSI:-50
[2025-11-07T04:45:51.646381] LAT:12.967688, LON:79.156887, ALT:311.3, SPD:1.87, SAT:6, BAT:3.893, RSSI:-58
[2025-11-07T04:45:49.133443] LAT:12.96769, LON:79.156878, ALT:312.4, SPD:0.98, SAT:8, BAT:3.894, RSSI:-55
[2025-11-07T04:45:46.618913] LAT:12.967691, LON:79.156868, ALT:306.7, SPD:1.66, SAT:8, BAT:3.894, RSSI:-61
[2025-11-07T04:45:44.859863] LAT:12.969886, LON:79.155771, ALT:305.9, SPD:2.28, SAT:9, BAT:3.894, RSSI:-75
[2025-11-07T04:45:44.105432] LAT:12.967689, LON:79.156858, ALT:305.9, SPD:1.94, SAT:6, BAT:3.894, RSSI:-56
[2025-11-07T04:45:42.344039] LAT:12.969877, LON:79.155766, ALT:312.3, SPD:0.65, SAT:5, BAT:3.895, RSSI:-57
[2025-11-07T04:45:41.593121] LAT:12.967689, LON:79.156848, ALT:306.6, SPD:1.73, SAT:8, BAT:3.894, RSSI:-48
[2025-11-07T04:45:39.825873] LAT:12.969871, LON:79.155758, ALT:312.0, SPD:0.93, SAT:6, BAT:3.895, RSSI:-56
[2025-11-07T04:45:39.078916] LAT:12.967691, LON:79.156838, ALT:306.7, SPD:2.37, SAT:8, BAT:3.895, RSSI:-66
[2025-11-07T04:45:37.310960] LAT:12.969866, LON:79.155749, ALT:313.3, SPD:1.57, SAT:5, BAT:3.895, RSSI:-54
[2025-11-07T04:45:36.564301] LAT:12.967694, LON:79.156829, ALT:309.4, SPD:0.57, SAT:7, BAT:3.895, RSSI:-62
[2025-11-07T04:45:34.792897] LAT:12.96986, LON:79.155741, ALT:313.3, SPD:1.13, SAT:8, BAT:3.895, RSSI:-46
[2025-11-07T04:45:34.049129] LAT:12.967695, LON:79.156819, ALT:306.9, SPD:2.3, SAT:8, BAT:3.895, RSSI:-62
[2025-11-07T04:45:32.277912] LAT:12.969854, LON:79.155734, ALT:310.5, SPD:2.2, SAT:9, BAT:3.895, RSSI:-51
[2025-11-07T04:45:31.520769] LAT:12.967694, LON:79.156809, ALT:309.8, SPD:1.59, SAT:8, BAT:3.895, RSSI:-56
[2025-11-07T04:45:29.761383] LAT:12.969847, LON:79.155726, ALT:311.3, SPD:0.56, SAT:6, BAT:3.895, RSSI:-67
[2025-11-07T04:45:29.006728] LAT:12.967693, LON:79.156799, ALT:311.9, SPD:1.78, SAT:5, BAT:3.895, RSSI:-57
[2025-11-07T04:45:27.248136] LAT:12.969843, LON:79.155717, ALT:308.0, SPD:1.09, SAT:6, BAT:3.896, RSSI:-62
[2025-11-07T04:45:26.491999] LAT:12.967691, LON:79.156789, ALT:314.4, SPD:0.73, SAT:6, BAT:3.896, RSSI:-51
[2025-11-07T04:45:24.733430] LAT:12.969835, LON:79.15571, ALT:306.4, SPD:1.81, SAT:7, BAT:3.896, RSSI:-51
[2025-11-07T04:45:23.981874] LAT:12.967688, LON:79.15678, ALT:313.0, SPD:1.02, SAT:7, BAT:3.896, RSSI:-55
[2025-11-07T04:45:22.219844] LAT:12.969826, LON:79.155706, ALT:314.5, SPD:1.19, SAT:7, BAT:3.896, RSSI:-52
[2025-11-07T04:45:21.466847] LAT:12.967681, LON:79.156772, ALT:308.7, SPD:1.06, SAT:7, BAT:3.896, RSSI:-47
[2025-11-07T04:45:19.705710] LAT:12.969816, LON:79.155706, ALT:310.9, SPD:1.32, SAT:7, BAT:3.896, RSSI:-68
[2025-11-07T04:45:18.951235] LAT:12.967674, LON:79.156765, ALT:306.9, SPD:0.78, SAT:5, BAT:3.896, RSSI:-52
[2025-11-07T04:45:17.190661] LAT:12.969806, LON:79.155706, ALT:309.9, SPD:0.55, SAT:8, BAT:3.896, RSSI:-51
[2025-11-07T04:45:16.435964] LAT:12.967668, LON:79.156757, ALT:309.3, SPD:0.94, SAT:5, BAT:3.896, RSSI:-46
[2025-11-07T04:45:14.675148] LAT:12.969796, LON:79.155703, ALT:308.7, SPD:1.84, SAT:6, BAT:3.896, RSSI:-46
[2025-11-07T04:45:13.921755] LAT:12.967662, LON:79.156749, ALT:312.4, SPD:0.73, SAT:6, BAT:3.897, RSSI:-49
[2025-11-07T04:45:12.151185] LAT:12.969789, LON:79.155697, ALT:308.6, SPD:2.14, SAT:8, BAT:3.897, RSSI:-45
[2025-11-07T04:45:11.399680] LAT:12.967657, LON:79.15674, ALT:307.7, SPD:1.88, SAT:5, BAT:3.897, RSSI:-70
[2025-11-07T04:45:09.633421] LAT:12.969783, LON:79.155689, ALT:306.7, SPD:1.39, SAT:8, BAT:3.897, RSSI:-61
[2025-11-07T04:45:08.882589] LAT:12.967656, LON:79.15673, ALT:307.9, SPD:1.36, SAT:9, BAT:3.897, RSSI:-70
[2025-11-07T04:45:07.123541] LAT:12.969777, LON:79.155681, ALT:306.5, SPD:1.9, SAT:7, BAT:3.897, RSSI:-65
[2025-11-07T04:45:06.370031] LAT:12.967654, LON:79.156721, ALT:312.6, SPD:0.74, SAT:9, BAT:3.897, RSSI:-72
[2025-11-07T04:45:04.606715] LAT:12.969775, LON:79.155671, ALT:307.4, SPD:0.8, SAT:8, BAT:3.897, RSSI:-75
[2025-11-07T04:45:03.850533] LAT:12.967652, LON:79.156711, ALT:309.4, SPD:2.41, SAT:7, BAT:3.897, RSSI:-57
[2025-11-07T04:45:02.072671] LAT:12.969777, LON:79.155661, ALT:308.4, SPD:2.34, SAT:5, BAT:3.897, RSSI:-59
[2025-11-07T04:45:01.334428] LAT:12.96765, LON:79.156701, ALT:309.4, SPD:2.11, SAT:8, BAT:3.897, RSSI:-75
[2025-11-07T04:44:59.553807] LAT:12.969782, LON:79.155653, ALT:309.3, SPD:2.46, SAT:7, BAT:3.898, RSSI:-64
[2025-11-07T04:44:58.820121] LAT:12.967652, LON:79.156691, ALT:309.6, SPD:1.57, SAT:5, BAT:3.898, RSSI:-69
[2025-11-07T04:44:57.044446] LAT:12.969789, LON:79.155646, ALT:311.7, SPD:1.95, SAT:6, BAT:3.898, RSSI:-46
[2025-11-07T04:44:56.308802] LAT:12.967655, LON:79.156682, ALT:314.8, SPD:1.5, SAT:7, BAT:3.898, RSSI:-55
[2025-11-07T04:44:54.528845] LAT:12.969798, LON:79.15564, ALT:306.4, SPD:1.91, SAT:7, BAT:3.898, RSSI:-59
[2025-11-07T04:44:53.795063] LAT:12.967658, LON:79.156672, ALT:309.0, SPD:1.05, SAT:6, BAT:3.898, RSSI:-53
[2025-11-07T04:44:52.015266] LAT:12.969804, LON:79.155633, ALT:314.4, SPD:1.14, SAT:9, BAT:3.898, RSSI:-70
[2025-11-07T04:44:51.279498] LAT:12.967656, LON:79.156662, ALT:306.9, SPD:1.08, SAT:6, BAT:3.898, RSSI:-65
[2025-11-07T04:44:49.502223] LAT:12.969812, LON:79.155627, ALT:309.9, SPD:1.84, SAT:5, BAT:3.898, RSSI:-67
[2025-11-07T04:44:48.762389] LAT:12.967658, LON:79.156652, ALT:311.9, SPD:1.0, SAT:5, BAT:3.898, RSSI:-56
[2025-11-07T04:44:46.988606] LAT:12.969822, LON:79.155625, ALT:309.3, SPD:1.44, SAT:5, BAT:3.898, RSSI:-45
[2025-11-07T04:44:46.249910] LAT:12.967655, LON:79.156643, ALT:306.1, SPD:1.72, SAT:5, BAT:3.899, RSSI:-61
[2025-11-07T04:44:44.474192] LAT:12.96983, LON:79.155619, ALT:310.0, SPD:1.63, SAT:8, BAT:3.899, RSSI:-49
[2025-11-07T04:44:43.735883] LAT:12.967651, LON:79.156634, ALT:311.1, SPD:0.71, SAT:6, BAT:3.899, RSSI:-58
[2025-11-07T04:44:41.959833] LAT:12.969836, LON:79.155611, ALT:312.8, SPD:2.12, SAT:8, BAT:3.899, RSSI:-53
[2025-11-07T04:44:41.220768] LAT:12.967643, LON:79.156627, ALT:308.1, SPD:0.78, SAT:9, BAT:3.899, RSSI:-54
[2025-11-07T04:44:39.441802] LAT:12.969841, LON:79.155602, ALT:314.2, SPD:2.22, SAT:7, BAT:3.899, RSSI:-47
[2025-11-07T04:44:38.703864] LAT:12.967635, LON:79.156622, ALT:314.7, SPD:2.38, SAT:6, BAT:3.899, RSSI:-72
[2025-11-07T04:44:36.927451] LAT:12.969849, LON:79.155597, ALT:314.1, SPD:0.62, SAT:5, BAT:3.899, RSSI:-52
[2025-11-07T04:44:36.192331] LAT:12.967629, LON:79.156614, ALT:305.1, SPD:2.47, SAT:8, BAT:3.899, RSSI:-68
[2025-11-07T04:44:34.415276] LAT:12.969858, LON:79.155591, ALT:314.4, SPD:1.75, SAT:6, BAT:3.899, RSSI:-68
[2025-11-07T04:44:33.678899] LAT:12.967622, LON:79.156606, ALT:306.7, SPD:0.6, SAT:5, BAT:3.899, RSSI:-66
[2025-11-07T04:44:31.900780] LAT:12.969866, LON:79.155586, ALT:310.6, SPD:2.34, SAT:6, BAT:3.9, RSSI:-51
[2025-11-07T04:44:31.164751] LAT:12.967618, LON:79.156597, ALT:305.5, SPD:2.4, SAT:7, BAT:3.9, RSSI:-75
[2025-11-07T04:44:29.381812] LAT:12.969876, LON:79.155583, ALT:312.6, SPD:1.24, SAT:7, BAT:3.9, RSSI:-49
[2025-11-07T04:44:28.645411] LAT:12.967616, LON:79.156587, ALT:313.1, SPD:0.66, SAT:6, BAT:3.9, RSSI:-51
[2025-11-07T04:38:23.466404] LAT:12.971457, LON:79.152287, ALT:313.0, SPD:2.23, SAT:9, BAT:3.613, RSSI:-56
[2025-11-07T04:38:21.410701] LAT:12.971453, LON:79.152296, ALT:313.4, SPD:0.95, SAT:9, BAT:3.613, RSSI:-67
[2025-11-07T04:38:19.399149] LAT:12.971447, LON:79.152304, ALT:306.4, SPD:0.66, SAT:6, BAT:3.614, RSSI:-59
[2025-11-07T04:38:17.387088] LAT:12.971443, LON:79.152313, ALT:310.4, SPD:2.24, SAT:7, BAT:3.614, RSSI:-47
[2025-11-07T04:38:15.373736] LAT:12.971437, LON:79.152321, ALT:311.5, SPD:1.1, SAT:8, BAT:3.614, RSSI:-71
[2025-11-07T04:38:13.360986] LAT:12.97143, LON:79.152328, ALT:314.4, SPD:1.72, SAT:7, BAT:3.614, RSSI:-60
[2025-11-07T04:38:11.348858] LAT:12.971422, LON:79.152334, ALT:307.2, SPD:1.58, SAT:9, BAT:3.614, RSSI:-45
[2025-11-07T04:38:09.335079] LAT:12.971413, LON:79.152339, ALT:311.7, SPD:2.13, SAT:8, BAT:3.615, RSSI:-48
